#NAME?,tree_dbh,stump_diam,status
180683,3,0,Alive
200540,21,0,Alive
204026,3,0,Alive
204337,10,0,Alive
189565,21,0,Alive
190422,11,0,Alive
190426,11,0,Alive
208649,9,0,Alive
209610,6,0,Alive
192755,21,0,Alive
203719,11,0,Alive
203726,8,0,Alive
195202,13,0,Alive
189465,22,0,Alive
192998,30,0,Alive
189834,12,0,Alive
204208,2,0,Alive
161339,14,0,Alive
187311,14,0,Alive
208201,10,0,Alive
193093,11,0,Alive
193310,14,0,Alive
199760,4,0,Alive
204325,9,0,Alive
189700,2,0,Alive
205044,5,0,Alive
192942,33,0,Alive
195265,19,0,Alive
201555,9,0,Alive
208407,9,0,Alive
189164,7,0,Alive
184375,3,0,Alive
187056,7,0,Alive
187058,5,0,Alive
178659,4,0,Alive
190423,12,0,Alive
190425,13,0,Alive
211205,16,16,Stump
204202,12,0,Alive
201494,24,0,Alive
208346,20,0,Alive
181710,13,0,Alive
178382,12,0,Alive
193690,36,0,Alive
196089,29,0,Alive
191988,6,0,Alive
203720,9,0,Alive
189339,18,0,Alive
208230,13,0,Alive
204413,13,0,Alive
161193,9,0,Alive
196132,19,0,Alive
196223,17,0,Alive
192888,32,0,Alive
192890,28,0,Alive
197978,7,0,Alive
187807,0,0,Dead
178601,10,0,Alive
184317,5,0,Alive
184031,3,0,Alive
200225,8,0,Alive
208974,10,0,Alive
198146,6,0,Alive
198121,8,0,Alive
195252,5,0,Alive
204355,5,0,Alive
205759,26,0,Alive
201654,10,0,Alive
198514,18,0,Alive
203334,11,0,Alive
200628,25,0,Alive
186888,15,0,Alive
196373,13,0,Alive
209441,5,0,Alive
206435,26,0,Alive
196080,36,0,Alive
203759,16,0,Alive
190359,13,0,Alive
209909,2,0,Alive
180295,2,0,Alive
208373,4,0,Alive
196205,22,0,Alive
192086,28,0,Alive
203550,42,0,Alive
203718,12,0,Alive
208832,3,0,Alive
193183,3,0,Alive
203577,26,0,Alive
179477,3,0,Alive
203386,26,0,Alive
189537,18,0,Alive
196130,24,0,Alive
200676,32,0,Alive
206326,13,0,Alive
204118,11,0,Alive
192653,22,0,Alive
203592,38,0,Alive
189338,18,0,Alive
208240,2,0,Alive
208247,29,0,Alive
204203,11,0,Alive
203385,23,0,Alive
196372,12,0,Alive
192889,27,0,Alive
203760,2,0,Alive
203767,14,0,Alive
208458,2,0,Alive
209919,9,0,Alive
198296,29,0,Alive
204169,20,0,Alive
208338,5,0,Alive
196131,29,0,Alive
196374,13,0,Alive
208463,14,0,Alive
201661,6,0,Alive
203769,3,0,Alive
208456,36,0,Alive
209921,3,0,Alive
189840,13,0,Alive
203887,5,0,Alive
200654,6,0,Alive
196440,5,0,Alive
204246,8,0,Alive
193014,22,0,Alive
180707,17,0,Alive
198230,10,0,Alive
192814,7,0,Alive
179828,1,0,Alive
196765,20,0,Alive
178599,13,0,Alive
208229,5,0,Alive
189313,2,0,Alive
208876,20,0,Alive
189570,27,0,Alive
170988,7,0,Alive
178783,2,0,Alive
175693,4,0,Alive
190540,7,0,Alive
140722,4,0,Alive
161235,4,0,Alive
161242,3,0,Alive
186060,17,0,Alive
180891,8,0,Alive
183381,11,0,Alive
166440,6,0,Alive
134320,11,0,Alive
168348,10,0,Alive
201658,32,0,Alive
204165,4,0,Alive
186817,4,0,Alive
198164,29,0,Alive
196627,17,0,Alive
208395,13,0,Alive
191733,4,0,Alive
209913,21,0,Alive
194656,3,0,Alive
192702,20,0,Alive
191162,11,0,Alive
191248,3,0,Alive
189708,13,0,Alive
201682,11,0,Alive
195151,3,0,Alive
173925,10,0,Alive
178756,14,0,Alive
163280,15,0,Alive
190420,13,0,Alive
190154,10,0,Alive
191273,8,0,Alive
178435,22,0,Alive
180307,3,0,Alive
179475,16,0,Alive
189401,20,0,Alive
176850,7,0,Alive
191197,4,0,Alive
183942,3,0,Alive
178779,7,0,Alive
189593,20,0,Alive
