tree_id,tree_dbh,stump_diam,status
190425,13,0,Alive
211205,16,16,Stump
204202,12,0,Alive
201494,24,0,Alive
208346,20,0,Alive
181710,13,0,Alive
178382,12,0,Alive
193690,36,0,Alive
196089,29,0,Alive
191988,6,0,Alive
203720,9,0,Alive
189339,18,0,Alive
208230,13,0,Alive
204413,13,0,Alive
161193,9,0,Alive
196132,19,0,Alive
196223,17,0,Alive
192888,32,0,Alive
192890,28,0,Alive
197978,7,0,Alive
187807,0,0,Dead
178601,10,0,Alive
184317,5,0,Alive
184031,3,0,Alive
200225,8,0,Alive
208974,10,0,Alive
198146,6,0,Alive
198121,8,0,Alive
195252,5,0,Alive
189590,24,0,Alive
191351,3,0,Alive
208767,11,0,Alive
205734,10,0,Alive
201486,13,0,Alive
203326,10,0,Alive
179994,14,0,Alive
208322,10,0,Dead
178583,14,0,Alive
187232,17,0,Alive
179887,5,0,Alive
200381,3,0,Alive
198290,7,0,Alive
190087,8,0,Alive
190421,14,0,Alive
181446,24,0,Alive
199062,4,0,Alive
200398,3,0,Alive
179942,8,0,Alive
189351,4,0,Alive
209058,6,0,Dead
196020,2,0,Alive
205829,20,0,Alive
208820,13,0,Alive
178606,7,0,Alive
200673,30,0,Alive
186501,16,0,Alive
197897,2,0,Alive
208819,12,0,Alive
200697,10,0,Alive
189599,3,0,Alive
187229,4,0,Alive
192892,8,0,Alive
206381,10,0,Alive
187061,6,0,Alive
189365,8,0,Alive
161340,14,0,Alive
204224,13,0,Alive
190435,11,0,Alive
193092,12,0,Alive
209331,12,0,Alive
200439,6,0,Alive
180252,8,0,Alive
180434,6,0,Alive
209045,6,0,Alive
201593,2,0,Alive
193069,13,0,Alive
189243,13,0,Alive
180516,9,0,Alive
208860,17,0,Alive
204033,7,0,Alive
208410,8,0,Alive
210544,6,0,Dead
170023,2,0,Alive
189583,4,0,Alive
189500,15,0,Alive
189902,12,0,Alive
187294,9,0,Alive
192893,10,0,Alive
208762,12,0,Alive
178415,7,0,Alive
187057,8,0,Alive
190383,10,0,Alive
190208,11,0,Alive
210539,10,0,Alive
190433,9,0,Alive
176350,6,0,Alive
196606,13,0,Alive
162814,3,0,Alive
188754,3,0,Alive
169991,8,0,Alive
181198,2,0,Alive
208989,2,0,Alive
204209,2,0,Alive
173021,3,0,Alive
190203,17,0,Alive
200680,38,0,Alive
183602,12,0,Alive
201818,2,0,Alive
204024,3,0,Alive
193394,9,0,Alive
195249,15,0,Alive
208919,12,0,Alive
190437,11,0,Alive
208200,13,0,Alive
209557,11,0,Alive
182847,6,0,Alive
210642,11,0,Alive
153586,8,0,Alive
171066,3,0,Alive
184051,10,0,Alive
171519,3,0,Alive
198323,11,0,Alive
158851,3,0,Alive
195970,7,0,Alive
197287,7,0,Alive
193911,4,0,Alive
193913,4,0,Alive
200364,7,0,Alive
204159,8,0,Alive
191221,16,0,Alive
189468,4,0,Alive
189619,4,0,Alive
184318,4,0,Alive
201483,9,0,Alive
189400,11,0,Alive
201934,2,0,Alive
176849,7,0,Alive
190387,13,0,Alive
208520,8,0,Alive
179891,5,0,Alive
180096,25,0,Alive
208990,2,0,Alive
199316,9,0,Alive
201670,25,0,Alive
208365,21,0,Alive
198512,21,0,Alive
194654,4,0,Alive
180478,6,0,Alive
197862,14,0,Alive
204221,10,0,Alive
156003,4,0,Alive
156128,6,0,Alive
166242,2,0,Alive
159750,13,0,Alive
167402,18,0,Alive
178491,11,0,Alive
201930,2,0,Alive
201932,2,0,Alive
208818,12,0,Alive
196005,6,0,Alive
208405,5,0,Alive
189598,4,0,Alive
201419,7,0,Alive
165589,9,0,Alive
173018,3,0,Alive
196541,5,0,Alive
204268,12,0,Alive
190345,8,0,Alive
205772,17,0,Alive
208862,4,0,Alive
204217,8,0,Alive
178663,2,0,Alive
190127,10,0,Alive
147243,21,0,Alive
147244,22,0,Alive
181603,13,0,Alive
147193,12,0,Alive
167918,6,0,Alive
145907,8,0,Alive
196207,21,0,Alive
190291,18,0,Alive
159248,12,0,Alive
145903,8,0,Alive
167929,34,0,Alive
167938,15,0,Alive
159673,17,0,Alive
164687,4,0,Alive
160039,8,0,Alive
127551,11,0,Alive
155829,11,0,Alive
155836,11,0,Alive
179259,16,0,Alive
189841,8,0,Alive
208857,16,0,Alive
179209,7,0,Alive
163901,7,0,Alive
176869,14,0,Alive
178482,8,0,Alive
180547,19,0,Alive
183664,11,0,Alive
169383,22,0,Alive
155477,13,0,Alive
198127,20,0,Alive
167418,3,0,Alive
176008,12,0,Alive
206344,9,0,Alive
180699,21,0,Alive
200183,8,0,Alive
195303,25,0,Alive
209052,10,0,Alive
203268,7,0,Alive
205672,12,0,Alive
189789,15,0,Alive
179748,20,0,Dead
208339,17,0,Alive
208350,24,0,Alive
198220,14,0,Alive
203336,11,0,Alive
160843,38,0,Alive
180858,9,0,Alive
178975,17,0,Alive
178005,9,0,Alive
170796,41,0,Alive
170419,22,0,Alive
159700,12,0,Alive
131288,23,0,Alive
166852,13,0,Alive
156324,14,0,Alive
193583,9,0,Alive
174597,31,0,Alive
173727,20,0,Alive
170551,7,0,Alive
165611,10,0,Alive
179248,9,0,Alive
171141,15,0,Alive
195309,14,0,Alive
189962,9,0,Alive
194356,10,0,Alive
185063,2,0,Alive
158174,30,0,Alive
165576,6,0,Alive
192569,2,0,Dead
179766,30,30,Stump
191379,5,0,Alive
191380,6,0,Alive
180619,10,10,Stump
184295,0,0,Dead
208828,10,15,Stump
127639,4,0,Alive
181973,25,25,Stump
